date,value,exposure
2010-06-07,100000.0,0.0
2010-06-08,100000.0,0.0
2010-06-09,100000.0,0.0
2010-06-10,100000.0,0.0
2010-06-11,100377.3888055319,0.98
2010-06-14,100279.01896450248,0.0
2010-06-15,102413.03543313101,0.98
2010-06-16,102377.21597313248,0.98
2010-06-17,102538.52720893276,0.98
2010-06-18,102488.28333060039,0.0
2010-06-21,102150.52151130133,0.98
2010-06-22,100497.24020048733,0.98
2010-06-23,100191.58285056843,0.98
2010-06-24,98564.543344065,0.98
2010-06-25,98467.95009158782,0.0
2010-06-28,98467.95009158782,0.0
2010-06-29,98467.95009158782,0.0
2010-06-30,98467.95009158782,0.0
2010-07-01,98467.95009158782,0.0
2010-07-02,98467.95009158782,0.0
2010-07-06,98467.95009158782,0.0
2010-07-07,98467.95009158782,0.0
2010-07-08,98467.95009158782,0.0
2010-07-09,99139.79010533486,0.98
2010-07-12,99202.79481757054,0.98
2010-07-13,100669.66265388555,0.98
2010-07-14,100660.667363873,0.98
2010-07-15,100687.64421527633,0.98
2010-07-16,100588.97032394537,0.0
2010-07-19,100588.97032394537,0.0
2010-07-20,100588.97032394537,0.0
2010-07-21,100588.97032394537,0.0
2010-07-22,100588.97032394537,0.0
2010-07-23,100588.97032394537,0.0
2010-07-26,101565.93961356503,0.98
2010-07-27,101556.98283014755,0.98
2010-07-28,100914.60224636055,0.98
2010-07-29,100432.75196319625,0.98
2010-07-30,100414.95121494353,0.98
2010-08-02,102637.048515832,0.98
2010-08-03,102155.36213243136,0.98
2010-08-04,102824.42888864764,0.98
2010-08-05,102717.37839614849,0.98
2010-08-06,102307.05889581556,0.98
2010-08-09,102842.29462616635,0.98
2010-08-10,102298.17016791622,0.98
2010-08-11,102197.91796115166,0.0
2010-08-12,102197.91796115166,0.0
2010-08-13,101803.02611004471,0.98
2010-08-16,101756.94854328022,0.98
2010-08-17,102982.077228968,0.98
2010-08-18,103166.21451307101,0.98
2010-08-19,101407.35817914538,0.98
2010-08-20,101084.92736271347,0.98
2010-08-23,100707.23551109596,0.98
2010-08-24,99242.3197106475,0.98
2010-08-25,99620.21002790533,0.98
2010-08-26,98965.8892701135,0.98
2010-08-27,98917.39598437115,0.0
2010-08-30,97415.7077708134,0.98
2010-08-31,97415.7077708134,0.98
2010-09-01,100271.32619745296,0.98
2010-09-02,101186.37730549689,0.98
2010-09-03,102472.66685115299,0.98
2010-09-07,101340.64807159868,0.98
2010-09-08,102038.14809995101,0.98
2010-09-09,102500.04949851711,0.98
2010-09-10,103007.18244396748,0.98
2010-09-13,104130.02968175568,0.98
2010-09-14,104066.6663622296,0.98
2010-09-15,104455.96689392513,0.98
2010-09-16,104428.80378912391,0.98
2010-09-17,104467.0075256169,0.98
2010-09-20,106032.40922868125,0.98
2010-09-21,105823.18815690075,0.98
2010-09-22,105313.61937696314,0.98
2010-09-23,104476.46358240469,0.98
2010-09-24,106587.88469135843,0.98
2010-09-27,106087.52708009051,0.98
2010-09-28,106451.49338218092,0.98
2010-09-29,106269.53204938742,0.98
2010-09-30,105960.15961028056,0.98
2010-10-01,106396.94458081423,0.98
2010-10-04,105614.52067626694,0.98
2010-10-05,107698.20136449691,0.98
2010-10-06,107689.09173761697,0.98
2010-10-07,107561.74823511446,0.98
2010-10-08,108152.96829436928,0.98
2010-10-11,108253.0653084434,0.98
2010-10-12,108580.46699877878,0.98
2010-10-13,109407.94691885826,0.98
2010-10-14,108989.73113007234,0.98
2010-10-15,109207.97193929745,0.98
2010-10-18,109735.39686614412,0.98
2010-10-19,108326.11195245739,0.98
2010-10-20,109362.88483885414,0.98
2010-10-21,109599.27912161552,0.98
2010-10-22,109799.30115713179,0.98
2010-10-25,110117.53064697457,0.98
2010-10-26,110135.71437725057,0.98
2010-10-27,109826.61023337224,0.98
2010-10-28,109844.77671658818,0.98
2010-10-29,109926.62132383887,0.98
2010-11-01,109962.98096051031,0.98
2010-11-02,110817.61351219822,0.98
2010-11-03,111253.93045579926,0.98
2010-11-04,113353.59921174192,0.98
2010-11-05,113771.53419794368,0.98
2010-11-08,113562.63702139795,0.98
2010-11-09,112763.08844965222,0.98
2010-11-10,113208.31713808191,0.98
2010-11-11,112790.35263504134,0.98
2010-11-12,111481.79394334245,0.98
2010-11-15,111327.31100791461,0.98
2010-11-16,109627.61342422763,0.98
2010-11-17,109682.11539948382,0.98
2010-11-18,111264.17893791669,0.98
2010-11-19,111564.14596947387,0.98
2010-11-22,111473.26870057112,0.98
2010-11-23,109891.71547343896,0.98
2010-11-24,111482.77559713052,0.98
2010-11-26,110210.30541158638,0.98
2010-11-29,110537.6034713961,0.98
2010-11-30,110483.44004569511,0.0
2010-12-01,110483.44004569511,0.0
2010-12-02,110483.44004569511,0.0
2010-12-03,110720.70355465518,0.98
2010-12-06,110605.88289925792,0.98
2010-12-07,110667.72501574199,0.98
2010-12-08,111065.04678808211,0.98
2010-12-09,111488.8233790244,0.98
2010-12-10,112124.5009149603,0.98
2010-12-13,112195.06949878954,0.98
2010-12-14,112292.18634081964,0.98
2010-12-15,111789.04431434428,0.98
2010-12-16,112424.64306690625,0.98
2010-12-17,112542.66694199276,0.98
2010-12-20,112808.84990542935,0.98
2010-12-21,113509.7852703575,0.98
2010-12-22,113855.7628591785,0.98
2010-12-23,113696.08195009505,0.98
2010-12-27,113740.44247017974,0.98
2010-12-28,113900.15322699763,0.98
2010-12-29,113979.98862628914,0.98
2010-12-30,113802.55557217008,0.98
2010-12-31,113829.20322696262,0.98
2011-01-03,114982.3988659512,0.98
2011-01-04,114920.29594290274,0.98
2011-01-05,115505.69387461699,0.98
2011-01-06,115283.9801247323,0.98
2011-01-07,115062.25767248333,0.98
2011-01-10,114920.33663148186,0.98
2011-01-11,115319.47695307451,0.98
2011-01-12,116339.33386393127,0.98
2011-01-13,116153.14904544693,0.98
2011-01-14,116977.84901918362,0.98
2011-01-18,117172.89073349183,0.98
2011-01-19,116046.94285597921,0.98
2011-01-20,115896.15824951851,0.98
2011-01-21,116153.33021400926,0.98
2011-01-24,116800.64840747997,0.98
2011-01-25,116862.69627937165,0.98
2011-01-26,117306.03709340112,0.98
2011-01-27,117589.7416603677,0.98
2011-01-28,115577.36590579449,0.98
2011-01-31,116428.71369291023,0.98
2011-02-01,118255.28604892791,0.98
2011-02-02,118033.72084912832,0.98
2011-02-03,118290.78098267473,0.98
2011-02-04,118618.73757787695,0.98
2011-02-07,119345.5353013189,0.98
2011-02-08,119877.33214275548,0.98
2011-02-09,119611.44453593588,0.98
2011-02-10,119655.75083620701,0.98
2011-02-11,120355.88761377687,0.98
2011-02-14,120639.41920277306,0.98
2011-02-15,120267.3040496683,0.98
2011-02-16,121011.60786459435,0.98
2011-02-17,121366.00975797643,0.98
2011-02-18,121614.08866998299,0.98
2011-02-22,119222.10918603765,0.98
2011-02-23,118504.24791594259,0.98
2011-02-24,118424.45801064708,0.98
2011-02-25,119665.37340901984,0.98
2011-02-28,120392.0992015144,0.98
2011-03-01,118424.9629023335,0.98
2011-03-02,118673.15057618015,0.98
2011-03-03,120676.33520422634,0.98
2011-03-04,119790.27854998806,0.98
2011-03-07,118868.59419308385,0.98
2011-03-08,119887.94209958786,0.98
2011-03-09,119719.55178250623,0.98
2011-03-10,119660.8892021328,0.0
2011-03-11,119660.8892021328,0.0
2011-03-14,119660.8892021328,0.0
2011-03-15,119660.8892021328,0.0
2011-03-16,119660.8892021328,0.0
2011-03-17,119660.8892021328,0.0
2011-03-18,119660.8892021328,0.0
2011-03-21,121418.7247930175,0.98
2011-03-22,121006.02221937252,0.98
2011-03-23,121345.3806863543,0.98
2011-03-24,122482.68578744821,0.98
2011-03-25,122849.45041347708,0.98
