date,value,exposure
2010-06-07,100000.0,0.0
2010-06-08,100000.0,0.0
2010-06-09,100000.0,0.0
2010-06-10,100000.0,0.0
2010-06-11,100000.0,0.0
2010-06-14,100000.0,0.0
2010-06-15,102764.46099451334,0.98
2010-06-16,102692.02723250848,0.98
2010-06-17,102591.38904582063,0.0
2010-06-18,103162.94829784111,0.98
2010-06-21,103112.39845317516,0.0
2010-06-22,100064.12744129515,0.98
2010-06-23,99966.06459640268,0.0
2010-06-24,99966.06459640268,0.0
2010-06-25,99966.06459640268,0.0
2010-06-28,99966.06459640268,0.0
2010-06-29,99966.06459640268,0.0
2010-06-30,99966.06459640268,0.0
2010-07-01,99966.06459640268,0.0
2010-07-02,99966.06459640268,0.0
2010-07-06,99966.06459640268,0.0
2010-07-07,99966.06459640268,0.0
2010-07-08,99966.06459640268,0.0
2010-07-09,100422.05730631365,0.98
2010-07-12,100160.25521398481,0.98
2010-07-13,101338.59922122197,0.98
2010-07-14,101226.3716228717,0.98
2010-07-15,101114.1475099986,0.98
2010-07-16,101015.0556454388,0.0
2010-07-19,101015.0556454388,0.0
2010-07-20,103227.24576949592,0.98
2010-07-21,103126.0830686418,0.0
2010-07-22,105312.60803059809,0.98
2010-07-23,105775.23287705799,0.98
2010-07-26,106681.13628511415,0.98
2010-07-27,106180.10593455721,0.98
2010-07-28,105948.77296899409,0.98
2010-07-29,106103.00181847895,0.98
2010-07-30,105891.02727215286,0.98
2010-08-02,109514.57639714076,0.98
2010-08-03,109476.06338919961,0.98
2010-08-04,110304.27897340716,0.98
2010-08-05,110650.9571152247,0.98
2010-08-06,109360.68858068812,0.98
2010-08-09,109803.70732783455,0.98
2010-08-10,108917.71796175187,0.98
2010-08-11,105739.26132575201,0.98
2010-08-12,105122.44286862617,0.98
2010-08-13,104948.93142016201,0.98
2010-08-16,104929.6827760405,0.98
2010-08-17,106645.4707273658,0.98
2010-08-18,105643.2640444931,0.98
2010-08-19,103966.28011339152,0.98
2010-08-20,102712.91937180958,0.98
2010-08-23,102751.5768095055,0.98
2010-08-24,101189.29640141378,0.98
2010-08-25,100880.5820423913,0.98
2010-08-26,99993.12124105211,0.98
2010-08-27,102540.34142290485,0.98
2010-08-30,101074.50662037049,0.98
2010-08-31,100804.40300559821,0.98
2010-09-01,104489.66770391789,0.98
2010-09-02,105337.99792735187,0.98
2010-09-03,106591.03941677048,0.98
2010-09-07,105029.94732912409,0.98
2010-09-08,104978.48265493281,0.0
2010-09-09,104978.48265493281,0.0
2010-09-10,104978.48265493281,0.0
2010-09-13,105756.94787419615,0.98
2010-09-14,105398.65113739802,0.98
2010-09-15,105191.18772138734,0.98
2010-09-16,104719.70958977092,0.98
2010-09-17,104206.16005818032,0.98
2010-09-20,105930.6027251845,0.98
2010-09-21,106006.42529883444,0.98
2010-09-22,105248.67236345567,0.98
2010-09-23,104604.47191890521,0.98
2010-09-24,106821.51758506971,0.98
2010-09-27,106423.75790509574,0.98
2010-09-28,107162.50038823823,0.98
2010-09-29,108279.9217329496,0.98
2010-09-30,108317.77988933891,0.98
2010-10-01,109737.90608824216,0.98
2010-10-04,108393.88705905397,0.98
2010-10-05,110893.31814288662,0.98
2010-10-06,111858.5736395242,0.98
2010-10-07,111309.81331368892,0.98
2010-10-08,112672.42625291563,0.98
2010-10-11,112975.13418599957,0.98
2010-10-12,112804.86345790091,0.98
2010-10-13,114148.17596380258,0.98
2010-10-14,113977.92874235591,0.98
2010-10-15,114280.61452521742,0.98
2010-10-18,114583.18688777163,0.98
2010-10-19,112351.3886008219,0.98
2010-10-20,113770.49189308024,0.98
2010-10-21,113713.74269287466,0.98
2010-10-22,114451.50194312207,0.98
2010-10-25,114754.09121920531,0.98
2010-10-26,114981.1089181781,0.98
2010-10-27,114508.27653803155,0.98
2010-10-28,114262.37133204468,0.98
2010-10-29,114338.05459467358,0.98
2010-11-01,114470.46818399955,0.98
2010-11-02,115699.9055249664,0.98
2010-11-03,115945.69844140476,0.98
2010-11-04,119557.4268827508,0.98
2010-11-05,120143.28506307551,0.98
2010-11-08,120502.28929513952,0.98
2010-11-09,120275.56803033644,0.98
2010-11-10,121787.19419771877,0.98
2010-11-11,123109.5457687199,0.98
2010-11-12,121334.17765138904,0.98
2010-11-15,120729.64922994263,0.98
2010-11-16,118519.05986555536,0.98
2010-11-17,118991.52467768811,0.98
2010-11-18,121561.96384934183,0.98
2010-11-19,122563.21664540608,0.98
2010-11-22,122185.39237713628,0.98
2010-11-23,119843.12179969676,0.98
2010-11-24,121959.62464276973,0.98
2010-11-26,121899.86442669478,0.0
2010-11-29,121899.86442669478,0.0
2010-11-30,121899.86442669478,0.0
2010-12-01,121899.86442669478,0.0
2010-12-02,121899.86442669478,0.0
2010-12-03,122368.6325095492,0.98
2010-12-06,122308.67187961953,0.0
2010-12-07,121795.20920444562,0.98
2010-12-08,121232.76701419351,0.98
2010-12-09,121504.98352753885,0.98
2010-12-10,121994.84611068989,0.98
2010-12-13,123010.72759462042,0.98
2010-12-14,122448.45690204718,0.98
2010-12-15,121795.40916700762,0.98
2010-12-16,122466.67056992074,0.98
2010-12-17,122508.5593545653,0.98
2010-12-20,123292.10687524061,0.98
2010-12-21,124512.73049343898,0.98
2010-12-22,124931.69832382537,0.98
2010-12-23,125277.78052066923,0.98
2010-12-27,124840.60524509972,0.98
2010-12-28,125295.99138787549,0.98
2010-12-29,126516.25013421952,0.98
2010-12-30,126625.50761387589,0.98
2010-12-31,126807.58857896109,0.98
2011-01-03,127736.18708014321,0.98
2011-01-04,126662.04325103623,0.98
2011-01-05,127153.72588942634,0.98
2011-01-06,125970.25771931878,0.98
2011-01-07,126862.54988783854,0.98
2011-01-10,126370.94047811952,0.98
2011-01-11,128428.61944875587,0.98
2011-01-12,130157.97508039945,0.98
2011-01-13,129794.01480752534,0.98
2011-01-14,131177.1383482928,0.98
2011-01-18,131977.81048688776,0.98
2011-01-19,130413.14549222839,0.98
2011-01-20,129503.24347722043,0.98
2011-01-21,130176.68473195167,0.98
2011-01-24,130649.8405219083,0.98
2011-01-25,130285.91841206775,0.98
2011-01-26,133343.20342845653,0.98
2011-01-27,132579.28901335117,0.98
2011-01-28,132015.29785442853,0.98
2011-01-31,135726.81292396787,0.98
2011-02-01,137890.65677076683,0.98
2011-02-02,137781.58798822947,0.98
2011-02-03,137854.22042730416,0.98
2011-02-04,137508.91533967215,0.98
2011-02-07,138290.6192316951,0.98
2011-02-08,137836.16943250128,0.98
2011-02-09,136127.48014712322,0.98
2011-02-10,137491.17775354168,0.98
2011-02-11,137472.9984889545,0.98
2011-02-14,140436.0989173526,0.98
2011-02-15,139000.58609365846,0.98
2011-02-16,140818.0832485564,0.98
2011-02-17,142180.87326694396,0.98
2011-02-18,142762.17022119116,0.98
2011-02-22,141399.80633919683,0.98
2011-02-23,144215.94999139497,0.98
2011-02-24,142218.24419737884,0.98
2011-02-25,144434.52699278432,0.98
2011-02-28,145524.1717515534,0.98
2011-03-01,142854.92272875045,0.98
2011-03-02,143654.19216142537,0.98
2011-03-03,146069.8336470164,0.98
2011-03-04,145162.02724631332,0.98
2011-03-07,144163.28375171198,0.98
2011-03-08,143000.93947278144,0.98
2011-03-09,142038.20779904482,0.98
2011-03-10,136969.5472942601,0.98
2011-03-11,139296.66588436498,0.98
2011-03-14,140041.89688670362,0.98
2011-03-15,139973.27635722913,0.0
2011-03-16,139973.27635722913,0.0
2011-03-17,144016.95132618304,0.98
2011-03-18,143355.51983962161,0.98
2011-03-21,147622.86924905807,0.98
2011-03-22,147306.2624793211,0.98
2011-03-23,147678.82012505253,0.98
2011-03-24,148200.2317414767,0.98
2011-03-25,149503.7975666131,0.98
2011-03-28,149150.07511981067,0.98
