date,value,exposure
2010-06-07,100000.0,0.0
2010-06-08,100000.0,0.0
2010-06-09,100000.0,0.0
2010-06-10,100000.0,0.0
2010-06-11,100765.14250127319,0.98
2010-06-14,100583.48880939325,0.98
2010-06-15,103172.71986395377,0.98
2010-06-16,103445.12985461134,0.98
2010-06-17,103808.28796256747,0.98
2010-06-18,103803.76942211617,0.98
2010-06-21,103074.84896471184,0.98
2010-06-22,102209.13365698377,0.98
2010-06-23,102026.84572917984,0.98
2010-06-24,100021.69109701653,0.98
2010-06-25,99923.66983974146,0.0
2010-06-28,99923.66983974146,0.0
2010-06-29,99923.66983974146,0.0
2010-06-30,99923.66983974146,0.0
2010-07-01,99923.66983974146,0.0
2010-07-02,99923.66983974146,0.0
2010-07-06,99923.66983974146,0.0
2010-07-07,102976.92712005973,0.98
2010-07-08,103597.21751014964,0.98
2010-07-09,104122.0170699813,0.98
2010-07-12,104599.05443230999,0.98
2010-07-13,106077.78195838763,0.98
2010-07-14,106697.68748888645,0.98
2010-07-15,107031.49061417348,0.98
2010-07-16,106926.5997533716,0.0
2010-07-19,107850.53161331626,0.98
2010-07-20,107797.68485282573,0.0
2010-07-21,107797.68485282573,0.0
2010-07-22,110598.67031288317,0.98
2010-07-23,111336.3196765816,0.98
2010-07-26,112024.70627259652,0.98
2010-07-27,112319.65909054271,0.98
2010-07-28,111434.75561694436,0.98
2010-07-29,111380.15258669206,0.0
2010-07-30,111380.15258669206,0.0
2010-08-02,111380.15258669206,0.0
2010-08-03,111380.15258669206,0.0
2010-08-04,112207.85108961476,0.98
2010-08-05,111717.8116286423,0.98
2010-08-06,111423.77545151982,0.98
2010-08-09,112158.8882059438,0.98
2010-08-10,111031.79926284577,0.98
2010-08-11,110922.98809956819,0.0
2010-08-12,110922.98809956819,0.0
2010-08-13,110922.98809956819,0.0
2010-08-16,110922.98809956819,0.0
2010-08-17,110922.98809956819,0.0
2010-08-18,111473.96091200065,0.98
2010-08-19,110162.60018639386,0.98
2010-08-20,109910.36190460809,0.98
2010-08-23,108951.75699383172,0.98
2010-08-24,107488.4602880591,0.98
2010-08-25,108144.60112914507,0.98
2010-08-26,107084.82804504289,0.98
2010-08-27,108346.80171266083,0.98
2010-08-30,106933.69483696095,0.98
2010-08-31,106580.38213970113,0.98
2010-09-01,109255.98229282188,0.98
2010-09-02,110214.64610754765,0.98
2010-09-03,111829.00053609486,0.98
2010-09-07,111774.20432583216,0.0
2010-09-08,112329.07423427454,0.98
2010-09-09,112633.87205008291,0.98
2010-09-10,112684.69673859174,0.98
2010-09-13,114665.75489840643,0.98
2010-09-14,115122.77296598865,0.98
2010-09-15,115833.57402529642,0.98
2010-09-16,116493.53797962802,0.98
2010-09-17,117109.9493404116,0.98
2010-09-20,118790.99152829743,0.98
2010-09-21,118587.32778418537,0.98
2010-09-22,118027.07482923208,0.98
2010-09-23,117874.30388609656,0.98
2010-09-24,120115.38932683633,0.98
2010-09-27,120166.32673427602,0.98
2010-09-28,120318.98262983869,0.98
2010-09-29,120064.47131421475,0.98
2010-09-30,119606.25719983414,0.98
2010-10-01,119657.1274866907,0.98
2010-10-04,118689.72993492168,0.98
2010-10-05,120981.43636446375,0.98
2010-10-06,120421.43091543092,0.98
2010-10-07,120421.43091543092,0.98
2010-10-08,121083.26415851088,0.98
2010-10-11,121286.94571932763,0.98
2010-10-12,121999.55044398794,0.98
2010-10-13,122966.64205301333,0.98
2010-10-14,123017.55539720105,0.98
2010-10-15,125053.047031342,0.98
2010-10-18,125867.0614741128,0.98
2010-10-19,123679.84643080436,0.98
2010-10-20,124697.49920769199,0.98
2010-10-21,124799.27375127866,0.98
2010-10-22,125155.35958146802,0.98
2010-10-25,125511.44856441203,0.98
2010-10-26,125816.68405867367,0.98
2010-10-27,126172.81818388232,0.98
2010-10-28,126172.81818388232,0.98
2010-10-29,126376.2589242475,0.98
2010-11-01,126477.98190838861,0.98
2010-11-02,127698.60194904811,0.98
2010-11-03,128410.57181998208,0.98
2010-11-04,130291.84814951611,0.98
2010-11-05,130190.16432917803,0.98
2010-11-08,130291.84977034201,0.98
2010-11-09,129936.03972261153,0.98
2010-11-10,130037.64589455946,0.98
2010-11-11,128106.04039222824,0.98
2010-11-12,126326.31191991907,0.98
2010-11-15,125970.37105943673,0.98
2010-11-16,123732.2528195689,0.98
2010-11-17,123671.62401568731,0.0
2010-11-18,123671.62401568731,0.0
2010-11-19,123671.62401568731,0.0
2010-11-22,123671.62401568731,0.0
2010-11-23,121827.33047246835,0.98
2010-11-24,123809.78620989012,0.98
2010-11-26,122620.73614214575,0.98
2010-11-29,122560.6519814361,0.0
2010-11-30,122560.6519814361,0.0
2010-12-01,122560.6519814361,0.0
2010-12-02,122560.6519814361,0.0
2010-12-03,122791.59253729123,0.98
2010-12-06,122791.59253729123,0.98
2010-12-07,122937.1228946485,0.98
2010-12-08,123955.67448229328,0.98
2010-12-09,124052.60418403159,0.98
2010-12-10,124634.53653030265,0.98
2010-12-13,124392.11999562493,0.98
2010-12-14,124586.05639434469,0.98
2010-12-15,124101.12859959254,0.98
2010-12-16,124295.17651192748,0.98
2010-12-17,124538.45830401589,0.98
2010-12-20,124635.78758164159,0.98
2010-12-21,125365.72849734173,0.98
2010-12-22,125219.7372219692,0.98
2010-12-23,125171.10636877439,0.98
2010-12-27,125414.38746198667,0.98
2010-12-28,125268.43139687416,0.98
2010-12-29,125511.70864419338,0.98
2010-12-30,125219.75570409288,0.98
2010-12-31,125073.80635101568,0.98
2011-01-03,126436.29769579993,0.98
2011-01-04,126922.737995957,0.98
2011-01-05,127652.3640822959,0.98
2011-01-06,128382.02991900028,0.98
2011-01-07,127798.3921861572,0.98
2011-01-10,127895.70447429469,0.98
2011-01-11,127701.11696866149,0.98
2011-01-12,128819.82846111411,0.98
2011-01-13,128722.56594534582,0.98
2011-01-14,129841.07375483088,0.98
2011-01-18,129986.89307634882,0.98
2011-01-19,129063.14224207099,0.98
2011-01-20,128382.36398937678,0.98
2011-01-21,127652.78087892434,0.98
2011-01-24,129403.8461349466,0.98
2011-01-25,129987.31289078982,0.98
2011-01-26,130716.6674612302,0.98
2011-01-27,131154.2144955998,0.98
2011-01-28,128188.82108629298,0.98
2011-01-31,128966.98429269492,0.98
2011-02-01,131106.73204374724,0.98
2011-02-02,131349.79856413623,0.98
2011-02-03,131544.23763092252,0.98
2011-02-04,132370.5645585223,0.98
2011-02-07,133002.40047594582,0.98
2011-02-08,133537.0200408156,0.98
2011-02-09,133294.03306280443,0.98
2011-02-10,132710.86756748753,0.98
2011-02-11,133391.29022145504,0.98
2011-02-14,133585.67969818774,0.98
2011-02-15,133099.7431172601,0.98
2011-02-16,133828.71931305857,0.98
2011-02-17,134071.65035151973,0.98
2011-02-18,133877.33765239606,0.98
2011-02-22,130670.1816849235,0.98
2011-02-23,130606.1532958979,0.0
2011-02-24,130606.1532958979,0.0
2011-02-25,132158.47727033103,0.98
2011-02-28,132697.1012566074,0.98
2011-03-01,130200.02339886266,0.98
2011-03-02,130983.72039496407,0.98
2011-03-03,133040.7109870364,0.98
2011-03-04,132975.52103865275,0.0
2011-03-07,132975.52103865275,0.0
2011-03-08,134009.09816725503,0.98
2011-03-09,133943.43370915306,0.0
2011-03-10,133943.43370915306,0.0
2011-03-11,133943.43370915306,0.0
2011-03-14,133943.43370915306,0.0
2011-03-15,133943.43370915306,0.0
2011-03-16,133943.43370915306,0.0
2011-03-17,133943.43370915306,0.0
2011-03-18,133943.43370915306,0.0
2011-03-21,133943.43370915306,0.0
2011-03-22,133670.57590097416,0.98
2011-03-23,134395.99664895755,0.98
2011-03-24,136468.51096171798,0.98
2011-03-25,136779.32491396175,0.98
