date,value,exposure
2010-06-07,100000.0,0.0
2010-06-08,100000.0,0.0
2010-06-09,100000.0,0.0
2010-06-10,100000.0,0.0
2010-06-11,100714.47694870339,0.98
2010-06-14,100883.69568372796,0.98
2010-06-15,102576.07102118702,0.98
2010-06-16,102948.24809835861,0.98
2010-06-17,103083.57985639508,0.98
2010-06-18,102542.89455286135,0.98
2010-06-21,102372.89815873496,0.98
2010-06-22,101386.59912782216,0.98
2010-06-23,100978.45019271725,0.98
2010-06-24,100264.05219675021,0.98
2010-06-25,100706.37864241119,0.98
2010-06-28,100536.26833465435,0.98
2010-06-29,98733.12160834622,0.98
2010-06-30,98636.36314917004,0.0
2010-07-01,98636.36314917004,0.0
2010-07-02,98636.36314917004,0.0
2010-07-06,98636.36314917004,0.0
2010-07-07,100425.08849177562,0.98
2010-07-08,101247.53377805208,0.98
2010-07-09,101487.36428512962,0.98
2010-07-12,101316.06992141213,0.98
2010-07-13,102069.84920179802,0.98
2010-07-14,102069.84920179802,0.98
2010-07-15,102378.11419907598,0.98
2010-07-16,102277.78364716089,0.0
2010-07-19,102277.78364716089,0.0
2010-07-20,102277.78364716089,0.0
2010-07-21,102277.78364716089,0.0
2010-07-22,102277.78364716089,0.0
2010-07-23,102277.78364716089,0.0
2010-07-26,103672.47001145523,0.98
2010-07-27,103778.14414232837,0.98
2010-07-28,102404.25092851947,0.98
2010-07-29,102333.83345101934,0.98
2010-07-30,102721.42926825407,0.98
2010-08-02,104624.10091501521,0.98
2010-08-03,105469.43756284936,0.98
2010-08-04,106490.72810406891,0.98
2010-08-05,106525.94841763237,0.98
2010-08-06,106737.18988467389,0.98
2010-08-09,107018.85135091761,0.98
2010-08-10,107265.28970315657,0.98
2010-08-11,107160.16971924748,0.0
2010-08-12,107160.16971924748,0.0
2010-08-13,106660.08546613944,0.98
2010-08-16,106121.31824937838,0.98
2010-08-17,107558.2393979879,0.98
2010-08-18,107414.60256281534,0.98
2010-08-19,105475.19722571864,0.98
2010-08-20,105115.91127729884,0.98
2010-08-23,105012.89768424709,0.0
2010-08-24,105012.89768424709,0.0
2010-08-25,105012.89768424709,0.0
2010-08-26,105012.89768424709,0.0
2010-08-27,106016.27726435667,0.98
2010-08-30,105912.3813126376,0.0
2010-08-31,105912.3813126376,0.0
2010-09-01,108260.23232203536,0.98
2010-09-02,108813.81309453567,0.98
2010-09-03,109810.06490319103,0.98
2010-09-07,109182.8650449984,0.98
2010-09-08,109773.22161215552,0.98
2010-09-09,110916.87400245144,0.98
2010-09-10,112023.38997075165,0.98
2010-09-13,112281.52591373223,0.98
2010-09-14,112650.29131591019,0.98
2010-09-15,113682.74524495387,0.98
2010-09-16,113240.34567301709,0.98
2010-09-17,113218.06861620759,0.98
2010-09-20,114700.47300844584,0.98
2010-09-21,114774.56357682226,0.98
2010-09-22,114959.77836990517,0.98
2010-09-23,114367.0443697957,0.98
2010-09-24,115886.16631244603,0.98
2010-09-27,115034.16399564219,0.98
2010-09-28,115960.39067700827,0.98
2010-09-29,115552.89016904707,0.98
2010-09-30,115256.58082951294,0.98
2010-10-01,115256.58082951294,0.98
2010-10-04,114145.2178099592,0.98
2010-10-05,116220.1799243217,0.98
2010-10-06,115775.6697365324,0.98
2010-10-07,115997.9560258692,0.98
2010-10-08,116294.28022560549,0.98
2010-10-11,116368.33216385049,0.98
2010-10-12,116627.63917439962,0.98
2010-10-13,117442.42013101628,0.98
2010-10-14,117220.19852728196,0.98
2010-10-15,117701.67892977221,0.98
2010-10-18,118775.5274297048,0.98
2010-10-19,116591.1614599197,0.98
2010-10-20,117665.25008492699,0.98
2010-10-21,117961.4806405724,0.98
2010-10-22,117998.46853594601,0.98
2010-10-25,118627.96579781683,0.98
2010-10-26,118294.78237638096,0.98
2010-10-27,117591.32717335751,0.98
2010-10-28,118257.85042332238,0.98
2010-10-29,117776.45340618702,0.98
2010-11-01,117776.45340618702,0.98
2010-11-02,118887.34854745018,0.98
2010-11-03,118961.40450876729,0.98
2010-11-04,119516.75289446847,0.98
2010-11-05,118813.38871043992,0.98
2010-11-08,118517.22519707317,0.98
2010-11-09,118035.85804505229,0.98
2010-11-10,117998.81541890075,0.98
2010-11-11,118332.13691149339,0.98
2010-11-12,118274.15416440676,0.0
2010-11-15,118253.6522892255,0.98
2010-11-16,118195.70799960378,0.0
2010-11-17,118195.70799960378,0.0
2010-11-18,119767.90140630097,0.98
2010-11-19,119709.21513461188,0.0
2010-11-22,119709.21513461188,0.0
2010-11-23,117948.97942520607,0.98
2010-11-24,119045.86935487777,0.98
2010-11-26,118987.53687889388,0.0
2010-11-29,118987.53687889388,0.0
2010-11-30,118987.53687889388,0.0
2010-12-01,118987.53687889388,0.0
2010-12-02,118987.53687889388,0.0
2010-12-03,118929.23298582323,0.98
2010-12-06,118179.4972467895,0.98
2010-12-07,118254.45728393344,0.98
2010-12-08,118366.96096986637,0.98
2010-12-09,118308.96115899114,0.0
2010-12-10,119372.8389157139,0.98
2010-12-13,119559.76710299411,0.98
2010-12-14,120756.13052223735,0.98
2010-12-15,120382.35237855386,0.98
2010-12-16,121204.70157211857,0.98
2010-12-17,121407.61645245021,0.98
2010-12-20,121370.03232240486,0.98
2010-12-21,121069.46860564018,0.98
2010-12-22,121407.63382302594,0.98
2010-12-23,121332.4840893619,0.98
2010-12-27,121107.04130731641,0.98
2010-12-28,121182.18557693408,0.98
2010-12-29,121219.78967757434,0.98
2010-12-30,120806.50867573915,0.98
2010-12-31,120768.93926573095,0.98
2011-01-03,121858.57957764603,0.98
2011-01-04,122234.18898004125,0.98
2011-01-05,122497.13985041047,0.98
2011-01-06,122985.45976052657,0.98
2011-01-07,122910.32046250593,0.98
2011-01-10,122572.25889989179,0.98
2011-01-11,123173.27561901708,0.98
2011-01-12,123811.7314920175,0.98
2011-01-13,123173.34280183153,0.98
2011-01-14,123323.57978620274,0.98
2011-01-18,123774.22394015544,0.98
2011-01-19,122948.05804975181,0.98
2011-01-20,123248.5156328396,0.98
2011-01-21,123361.18741231284,0.98
2011-01-24,123211.00132412501,0.98
2011-01-25,123211.00132412501,0.98
2011-01-26,123060.72810732207,0.98
2011-01-27,123361.19863650145,0.98
2011-01-28,121182.93032526944,0.98
2011-01-31,121445.93819148127,0.98
2011-02-01,123587.33469930539,0.98
2011-02-02,123174.24068697108,0.98
2011-02-03,123324.47876651071,0.98
2011-02-04,123887.83439381227,0.98
2011-02-07,123700.03572710088,0.98
2011-02-08,124037.99114955218,0.98
2011-02-09,123775.15360591674,0.98
2011-02-10,123812.71404233716,0.98
2011-02-11,124075.60767458027,0.98
2011-02-14,124488.69646497625,0.98
2011-02-15,124225.80420943628,0.98
2011-02-16,124864.15470430434,0.98
2011-02-17,125389.87928038201,0.98
2011-02-18,125690.22792411476,0.98
2011-02-22,123813.08949939675,0.98
2011-02-23,122648.96053825236,0.98
2011-02-24,123062.08361287494,0.98
2011-02-25,123813.26357689852,0.98
2011-02-28,125165.21455774902,0.98
2011-03-01,124189.05466788013,0.98
2011-03-02,124564.50614164035,0.98
2011-03-03,127080.38395024842,0.98
2011-03-04,126892.69001101743,0.98
2011-03-07,125954.2845888536,0.98
2011-03-08,126630.07443511311,0.98
2011-03-09,126817.70805376186,0.98
2011-03-10,124865.81615101719,0.98
2011-03-11,125278.90352900345,0.98
2011-03-14,124678.17800980508,0.98
2011-03-15,124617.08570258028,0.0
2011-03-16,124617.08570258028,0.0
2011-03-17,124617.08570258028,0.0
2011-03-18,124617.08570258028,0.0
2011-03-21,124617.08570258028,0.0
2011-03-22,124480.24085178485,0.98
2011-03-23,124404.56901437714,0.98
2011-03-24,125843.29094150942,0.98
2011-03-25,126183.98071360798,0.98
