eval_start,eval_end,w_SPY,w_XLK,w_XLV,w_XLE,opt_sharpe_oos,fixed_sharpe_oos
2015-06-08,2016-06-07,0.0,0.55,0.3,0.15,2.175238901283847,2.4655624988464715
2016-06-08,2017-06-07,0.1,0.5,0.3,0.1,1.8345667774000347,2.0750721023487855
2017-06-08,2018-06-07,0.2,0.5,0.25,0.05,3.897769687086967,3.96199075554713
2018-06-08,2019-06-07,0.25,0.5,0.2,0.05,2.139102686016801,2.2942920639788627
2019-06-08,2020-06-07,0.25,0.4,0.25,0.1,2.9385537249739775,2.9824876459106178
2020-06-08,2021-06-07,0.35,0.4,0.2,0.05,2.1676322365186427,2.1977567663586295
2021-06-08,2022-06-07,0.4,0.35,0.2,0.05,3.069259229525851,3.3286886894814445
2022-06-08,2023-06-07,0.3,0.4,0.15,0.15,0.41909888326461797,0.44016239261209555
2023-06-08,2024-06-07,0.4,0.3,0.2,0.1,1.0706563342872395,1.0422754589159706
2024-06-08,2025-06-07,0.45,0.25,0.15,0.15,3.6339489859629963,3.8088745964267727
